sample_name,split,true_label,pred_label,correct,ptv3_prop,ae_prop,sinr_prop,confidence
Abies/TreeScanPL_plot101703_tree1.npy,train,0,0,1,0.7186220694583348,0.12336201211750608,0.1580159167117018,0.9990856647491455
Carpinus/TreeScanPL_plot101703_tree2.npy,train,4,4,1,0.8964922294599127,0.03572395175045078,0.06778381727551916,0.994886577129364
Fagus/TreeScanPL_plot101703_tree3.npy,train,5,5,1,0.8409983721453836,0.037411304582641525,0.12159032175827918,0.999014139175415
Abies/TreeScanPL_plot101703_tree4.npy,train,0,0,1,0.546314221698217,0.11263594896251922,0.3410498271956993,0.9991562366485596
Acer/TreeScanPL_plot101703_tree6.npy,train,1,1,1,0.8125170383790177,0.06029107786037719,0.12719188175558951,0.9999831914901733
Abies/TreeScanPL_plot101703_tree7.npy,train,0,0,1,0.7416789916608862,0.14688894694154633,0.11143205946306481,0.9999550580978394
Fagus/TreeScanPL_plot101703_tree8.npy,train,5,5,1,0.7689217835606139,0.0412095373105173,0.1898686778890723,0.9464195966720581
Abies/TreeScanPL_plot101703_tree9.npy,train,0,0,1,0.5947187422863679,0.05595007383832639,0.3493311817462368,0.9994995594024658
Abies/TreeScanPL_plot101703_tree10.npy,train,0,0,1,0.6419052000461938,0.07132391165497756,0.2867708865842883,0.999829888343811
Abies/TreeScanPL_plot101703_tree11.npy,train,0,0,1,0.8777745717367883,0.09131160435345802,0.030913820854846525,0.9999929666519165
Abies/TreeScanPL_plot101703_tree12.npy,train,0,0,1,0.3983353058129417,0.11260307757158944,0.48906161498385115,0.9996598958969116
Abies/TreeScanPL_plot101703_tree13.npy,train,0,0,1,0.6088485321267134,0.056849174934417775,0.33430229106540466,0.9990109205245972
Abies/TreeScanPL_plot101703_tree14.npy,train,0,0,1,0.35797382097698827,0.11447681585021319,0.5275493615052139,0.999552309513092
Abies/TreeScanPL_plot101703_tree15.npy,train,0,0,1,0.5024498033669094,0.11846144569504681,0.3790887490506341,0.9999845027923584
Abies/TreeScanPL_plot101703_tree17.npy,train,0,0,1,0.48655904645672954,0.11546706478474959,0.3979738868158866,0.9999908208847046
Abies/TreeScanPL_plot101703_tree18.npy,train,0,0,1,0.48951859576988943,0.10934840719331146,0.40113299523378604,0.9998651742935181
Abies/TreeScanPL_plot101703_tree19.npy,train,0,0,1,0.5227997000742856,0.10533352044683618,0.3718667774646051,0.9998224377632141
Abies/TreeScanPL_plot101703_tree20.npy,train,0,0,1,0.4087502387387473,0.0954945717491828,0.49575518728200674,0.9999839067459106
Fagus/TreeScanPL_plot101703_tree21.npy,train,5,5,1,0.6708981274003382,0.03679772732977459,0.29230414414392314,0.8855658173561096
Abies/TreeScanPL_plot101703_tree22.npy,train,0,0,1,0.575735478991251,0.1081567987929931,0.31610772026209943,0.9999834299087524
Acer/TreeScanPL_plot101703_tree23.npy,train,1,1,1,0.7186869161276631,0.04302436433385447,0.23828871742859417,0.998894989490509
